vertices,redexes,redex_depths,redex_indexes,heights,widths,steps_time,strategy_name
51,3,7,13,15,20,256095,LI
46,2,6,6,15,18,212362,LI
43,2,11,31,15,17,393212,LI
40,1,5,5,13,16,181815,LI
11,1,4,4,6,4,33967,LI
52,6,2,2,18,15,39607,LI
48,6,12,18,18,14,258281,LI
45,6,16,23,21,13,275730,LI
42,5,7,12,19,12,155664,LI
39,4,4,33,17,11,113652,LI
36,3,3,30,17,10,96953,LI
33,2,2,6,17,9,64943,LI
27,1,1,1,15,7,23782,LI
54,6,4,8,21,19,100694,LI
51,5,15,29,21,18,478941,LI
48,5,14,28,21,17,487397,LI
33,4,9,14,15,11,161164,LI
30,3,7,12,13,10,135232,LI
27,2,5,10,11,9,79648,LI
25,1,1,1,10,8,21357,LI
57,5,4,6,12,19,161060,LI
61,8,6,8,12,18,207130,LI
58,8,8,12,12,17,191404,LI
55,8,7,11,12,16,167035,LI
52,7,5,7,12,15,200995,LI
49,7,7,15,12,14,187091,LI
46,7,6,14,12,13,130558,LI
43,6,5,11,12,12,109339,LI
40,5,4,6,12,11,88314,LI
36,5,8,15,12,10,158931,LI
33,4,5,10,10,9,90910,LI
30,4,4,9,9,8,71329,LI
27,3,3,5,9,7,48815,LI
17,2,2,2,6,5,17289,LI
14,2,3,5,6,4,28118,LI
11,1,1,1,6,3,10469,LI
59,6,4,25,12,19,197356,LI
56,5,3,3,12,18,110769,LI
77,7,9,14,13,23,336017,LI
73,7,10,19,13,22,380596,LI
70,6,8,13,11,21,265145,LI
71,6,8,13,11,21,275913,LI
64,6,7,12,10,19,210174,LI
65,6,7,12,10,19,218895,LI
58,6,6,11,9,17,162197,LI
59,6,6,11,9,17,169768,LI
52,6,5,10,9,15,121810,LI
54,6,5,10,9,15,209562,LI
46,6,4,9,9,13,86991,LI
39,5,3,3,9,11,64120,LI
33,5,2,2,9,9,27002,LI
31,5,2,2,9,8,23812,LI
28,5,7,9,9,7,92955,LI
25,4,4,6,7,6,67538,LI
20,4,4,9,7,5,54336,LI
17,3,3,5,6,4,36651,LI
11,3,3,7,4,3,24899,LI
8,2,2,4,3,2,14174,LI
5,1,1,1,2,1,5450,LI
59,5,13,22,15,21,319436,LI
56,4,9,12,14,20,262386,LI
53,3,7,10,15,19,211275,LI
48,3,7,29,13,17,202407,LI
33,2,6,9,13,12,115850,LI
26,1,1,1,11,9,22170,LI
56,7,5,5,10,18,104042,LI
53,6,3,3,10,17,85019,LI
50,6,8,17,10,16,164515,LI
47,5,7,14,10,15,186371,LI
44,4,4,6,10,14,119035,LI
46,4,4,6,10,14,129249,LI
43,4,4,6,10,13,115431,LI
40,4,4,6,10,12,174099,LI
